ID,STATE,PROPERTYNAME,UNITS_RNTASSTNCE_MSNG_PCT,UNITS_RNTASSTNCE_RPTD_0_PCT,UNITS_RNTASSTNCE_RPTD_GRT0_PCT
6512,AK,3600 SPENARD,-4,-4,60
22151,AK,ALDER VIEW,0,-4,-4
29391,AK,AURORA VISTA 1,0,-4,-4
16889,AK,AURORA VISTA III,0,0,100
23449,AK,AVS 56,-4,-4,59.1
18658,AK,BAYVIEW APTS. ASSOC. LP,0,-4,-4
21670,AK,BRIGHTON PARK,76.3,0,23.8
29,AK,CARLANNA,-4,0,-4
28,AK,CASWELL COURT,41.2,0,58.8
5509,AK,CH'ANIKNA COMMONS,-4,0,-4
18660,AK,"CORDOVA MEWS ASSOCIATES OF CORDOVA, LLC",0,-4,-4
10256,AK,CORONADO PARK,62.5,0,37.5
5507,AK,CREEKSIDE,0,-4,-4
21669,AK,CREEKVIEW PLAZA 49,-4,-4,55.1
9414,AK,CREEKWOOD,0,-4,-4
35026,AK,EAGLE RIDGE OF PALMER,0,100,0
12050,AK,EAGLES NEST,0,-4,-4
6511,AK,EKLUTNA ESTATES,49,0,51
4469,AK,ELIZABETH PLACE,71.1,0,28.9
32807,AK,"GATEWAY-SEWARD ASSOCIATES, LTD PTN",0,-4,-4
16930,AK,"GLACIER PARK-KETCHIKAN ASSOCIATES, LTD PARTNERSHIP",0,-4,-4
40494,AK,GLACIER VILLAGE,-4,0,-4
29394,AK,GLACIER VILLAGE II/III,59.5,0,40.5
22150,AK,GRASS CREEK NORTH I,-4,-4,48.8
16929,AK,GRASS CREEK NORTH II,-4,-4,48.9
23447,AK,GRASS CREEK VILLAGE,-4,-4,50.8
6510,AK,HAMPSTEAD HEATH APTS.,36.8,0,63.2
18659,AK,"HARBOR RIDGE-HOMER ASSOCIATES, LLC",0,-4,-4
33711,AK,HILLPOINT PARK APARTMENTS,0,-4,-4
6243,AK,"HUNTER CREEK APTS. OF PALMER, LP",0,100,0
36791,AK,KENAITZE POINTE,52.8,-4,-4
1824,AK,KNIK MANOR,0,-4,-4
17459,AK,LOUSSAC PLACE,-4,-4,75.3
17458,AK,LOUSSAC-SOGN,100,0,0
