ID,STATE,PROPERTYNAME,CITY,UNITS_FRA_SRC_PCT,UNITS_FRA_SRC_PBRA_PCT,UNITS_FRA_SRC_S8_PCT,UNITS_FRA_SRC_PH_PCT,UNITS_FRA_SRC_HOME_PCT,UNITS_FRA_SRC_HCV_PCT,UNITS_FRA_SRC_PBV_PCT,UNITS_FRA_SRC_S521_PCT,UNITS_FRA_SRC_OTHER_PCT
6512,AK,3600 SPENARD,ANCHORAGE,0,0,0,0,0,0,0,0,0
22151,AK,ALDER VIEW,WASILLA,0,0,0,0,0,0,0,0,0
29391,AK,AURORA VISTA 1,KENAI,95.8,0,0,0,0,0,0,100,0
16889,AK,AURORA VISTA III,KENAI,100,-4,0,0,0,0,0,-4,0
23449,AK,AVS 56,ANCHORAGE,0,0,0,0,0,0,0,0,0
18658,AK,BAYVIEW APTS. ASSOC. LP,SEWARD,97.1,0,0,0,0,0,0,100,0
21670,AK,BRIGHTON PARK,ANCHORAGE,0,0,0,0,0,0,0,0,0
29,AK,CARLANNA,KETCHIKAN,0,0,0,0,0,0,0,0,0
28,AK,CASWELL COURT,ANCHORAGE,0,0,0,0,0,0,0,0,0
5509,AK,CH'ANIKNA COMMONS,ANCHORAGE,0,0,0,0,0,0,0,0,0
18660,AK,"CORDOVA MEWS ASSOCIATES OF CORDOVA, LLC",CORDOVA,95.5,0,0,0,0,0,0,100,0
10256,AK,CORONADO PARK,EAGLE RIVER,0,0,0,0,0,0,0,0,0
5507,AK,CREEKSIDE,GIRDWOOD,17.2,0,0,0,0,-4,-4,0,0
21669,AK,CREEKVIEW PLAZA 49,ANCHORAGE,0,0,0,0,0,0,0,0,0
9414,AK,CREEKWOOD,PALMER,6.5,0,0,0,0,0,-4,0,0
35026,AK,EAGLE RIDGE OF PALMER,PALMER,0,0,0,0,0,0,0,0,0
12050,AK,EAGLES NEST,WASILLA,0,0,0,0,0,0,0,0,0
6511,AK,EKLUTNA ESTATES,ANCHORAGE,0,0,0,0,0,0,0,0,0
4469,AK,ELIZABETH PLACE,ANCHORAGE,0,0,0,0,0,0,0,0,0
32807,AK,"GATEWAY-SEWARD ASSOCIATES, LTD PTN",SEWARD,95,0,0,0,0,0,0,100,0
16930,AK,"GLACIER PARK-KETCHIKAN ASSOCIATES, LTD PARTNERSHIP",KETCHIKAN,95.7,0,0,0,0,0,0,100,0
40494,AK,GLACIER VILLAGE,JUNEAU,0,0,0,0,0,0,0,0,0
29394,AK,GLACIER VILLAGE II/III,JUNEAU,0,0,0,0,0,0,0,0,0
22150,AK,GRASS CREEK NORTH I,ANCHORAGE,0,0,0,0,0,0,0,0,0
16929,AK,GRASS CREEK NORTH II,ANCHORAGE,0,0,0,0,0,0,0,0,0
23447,AK,GRASS CREEK VILLAGE,ANCHORAGE,0,0,0,0,0,0,0,0,0
6510,AK,HAMPSTEAD HEATH APTS.,ANCHORAGE,0,0,0,0,0,0,0,0,0
18659,AK,"HARBOR RIDGE-HOMER ASSOCIATES, LLC",HOMER,95.8,0,0,0,0,0,0,100,0
33711,AK,HILLPOINT PARK APARTMENTS,ANCHORAGE,0,0,0,0,0,0,0,0,0
6243,AK,"HUNTER CREEK APTS. OF PALMER, LP",PALMER,0,0,0,0,0,0,0,0,0
36791,AK,KENAITZE POINTE,ANCHORAGE,0,0,0,0,0,0,0,0,0
1824,AK,KNIK MANOR,WASILLA,0,0,0,0,0,0,0,0,0
17459,AK,LOUSSAC PLACE,ANCHORAGE,0,0,0,0,0,0,0,0,0
17458,AK,LOUSSAC-SOGN,ANCHORAGE,0,0,0,0,0,0,0,0,0
1178,AK,"MILL BAY TOWNHOMES, LLC",KODIAK,0,0,0,0,0,0,0,0,0
33670,AK,MLH MANOR,FAIRBANKS,0,0,0,0,0,0,0,0,0
33085,AK,"MUNAQSRI SENIOR ASSOCIATES OF NOME, LLC",NOME,95.8,0,0,0,0,0,0,100,0
27,AK,MVVI,ANCHORAGE,0,0,0,0,0,0,0,0,0
22149,AK,MVVII,ANCHORAGE,0,0,0,0,0,0,0,0,0
28604,AK,MVVIII,ANCHORAGE,0,0,0,0,0,0,0,0,0
16928,AK,MVVIV,ANCHORAGE,0,0,0,0,0,0,0,0,0
24716,AK,MVVV,ANCHORAGE,0,0,0,0,0,0,0,0,0
28605,AK,NORTHWARD BUILDING,FAIRBANKS,0,0,0,0,0,0,0,0,0
28603,AK,PACIFIC PARK,SEWARD,0,0,0,0,0,0,0,0,0
28602,AK,PARKVIEW-SOLDOTNA ASSOCIATES LP,SOLDOTNA,93.8,0,0,0,0,0,0,100,0
35027,AK,RAVEN TREE COURT,WASILLA,0,0,0,0,0,0,0,0,0
30172,AK,RIDGELINE TERRACE,ANCHORAGE,0,0,0,0,0,0,0,0,0
33710,AK,SOUND VIEW ASSOCIATES,VALDEZ,88.9,0,0,0,0,0,0,100,0
23448,AK,"SPRUCE CAPE HOMES, LLC",KODIAK,0,0,0,0,0,0,0,0,0
24715,AK,SPRUCE VIEW,ANCHORAGE,0,0,0,0,0,0,0,0,0
6242,AK,STRAWBERRY VILLAGE,ANCHORAGE,0,0,0,0,0,0,0,0,0
13759,AK,SUNRISE,YAKUTAT,0,0,0,0,0,0,0,0,0
6284,AK,SUSITNA PLACE,WASILLA,0,0,0,0,0,0,0,0,0
28606,AK,SUSITNA SQUARE,ANCHORAGE,0,0,0,0,0,0,0,0,0
10257,AK,THE ADELAIDE,ANCHORAGE,98.6,0,100,0,0,0,0,0,0
5508,AK,THE BIRCHES II,WASILLA,44.4,0,0,0,0,0,100,0,0
32808,AK,TRADEWINDS APTS. ASSOC. LP,UNALASKA,94.3,0,0,0,0,0,0,100,0
10993,AK,TURNAGAIN PLACE LLC,ANCHORAGE,0,0,0,0,0,0,0,0,0
29392,AK,TYONEK TERRACE,ANCHORAGE,0,0,0,0,0,0,0,0,0
29393,AK,WEEKS FIELD ESTATES II,FAIRBANKS,28.6,-4,0,0,0,0,-4,0,0
28601,AK,WEEKSFIELD APARTMENTS,FAIRBANKS,55.4,0,0,0,0,0,100,0,0
1823,AK,WILLOW POINTE LIMITED PARTNERSHIP,PALMER,96.2,0,0,0,0,0,0,100,0
13815,AL,ADAMS CROSSINGS FORMERLY BROWNSTONE APARTMENTS,BOAZ,37.5,0,0,0,0,-4,0,0,-4
23459,AL,ADAMS RIDGE APARTMENTS,UNION SPRINGS,28.1,0,0,0,0,0,0,0,-4
18705,AL,ADDISON WAY,SELMA,30.5,0,0,0,0,-4,0,0,-4
10423,AL,AHEPA 310 APARTMENTS,MOBILE,100,-4,0,0,0,0,0,-4,0
5613,AL,ALABASTER BAY APTS FORMERLY WIREGRASS POINT APTS,DOTHAN,33.9,0,0,0,0,-4,0,0,-4
44,AL,ALAMEDA TERRACE APARTMENTS,BIRMINGHAM,98.5,-4,0,0,0,0,0,0,-4
4522,AL,ALEX PLACE,LIVINGSTON,37.5,0,0,0,0,0,0,0,-4
23503,AL,ALEXANDER TERRACE APARTMENTS,MOULTON,0,0,0,0,0,0,0,0,0
1869,AL,ALEXANDER TERRACE APARTMENTS II,MOULTON,0,0,0,0,0,0,0,0,0
21825,AL,ALEXANDER VILLAGE APARTMENTS,ST FLORIAN,31.3,0,0,0,0,-4,0,0,-4
21828,AL,ALFRED RADNEY APARTMENTS FORMERLY NORTHGATE APTS,ROANOKE,11.6,0,0,0,0,0,0,0,-4
23452,AL,ALICEVILLE ESTATES,ALICEVILLE,43.8,0,0,0,0,0,0,0,100
20527,AL,ALISON POINTE APARTMENTS,FOLEY,7.8,0,0,0,0,-4,0,0,-4
28657,AL,AMBERWOOD,BIRMINGHAM CENTER POINT,35.3,0,0,0,0,-4,0,0,-4
