ID,STATE,PROPERTYNAME,CITY,HHSIZEATCERT_NOTREPORTED_PCT,HHSIZEATCERT_LT_PCT,HHSIZEATCERT_EQUAL_PCT,HHSIZEATCERT_GT_PCT
6512,AK,3600 SPENARD,ANCHORAGE,-4,0,88,-4
22151,AK,ALDER VIEW,WASILLA,0,0,100,0
29391,AK,AURORA VISTA 1,KENAI,0,0,-4,-4
16889,AK,AURORA VISTA III,KENAI,0,0,100,0
23449,AK,AVS 56,ANCHORAGE,0,-4,-4,0
18658,AK,BAYVIEW APTS. ASSOC. LP,SEWARD,0,0,100,0
21670,AK,BRIGHTON PARK,ANCHORAGE,32.5,-4,56.3,-4
29,AK,CARLANNA,KETCHIKAN,-4,0,-4,0
28,AK,CASWELL COURT,ANCHORAGE,-4,0,-4,0
5509,AK,CH'ANIKNA COMMONS,ANCHORAGE,0,0,100,0
18660,AK,"CORDOVA MEWS ASSOCIATES OF CORDOVA, LLC",CORDOVA,0,0,100,0
10256,AK,CORONADO PARK,EAGLE RIVER,-4,0,-4,0
5507,AK,CREEKSIDE,GIRDWOOD,0,0,100,0
21669,AK,CREEKVIEW PLAZA 49,ANCHORAGE,-4,-4,93.9,0
9414,AK,CREEKWOOD,PALMER,-4,0,-4,0
35026,AK,EAGLE RIDGE OF PALMER,PALMER,0,0,100,0
12050,AK,EAGLES NEST,WASILLA,0,0,100,0
6511,AK,EKLUTNA ESTATES,ANCHORAGE,-4,-4,82.4,-4
4469,AK,ELIZABETH PLACE,ANCHORAGE,63.2,0,36.8,0
32807,AK,"GATEWAY-SEWARD ASSOCIATES, LTD PTN",SEWARD,0,0,100,0
16930,AK,"GLACIER PARK-KETCHIKAN ASSOCIATES, LTD PARTNERSHIP",KETCHIKAN,0,0,100,0
40494,AK,GLACIER VILLAGE,JUNEAU,0,-4,-4,0
29394,AK,GLACIER VILLAGE II/III,JUNEAU,0,-4,89.2,-4
22150,AK,GRASS CREEK NORTH I,ANCHORAGE,-4,-4,63.4,-4
16929,AK,GRASS CREEK NORTH II,ANCHORAGE,-4,-4,75.6,-4
23447,AK,GRASS CREEK VILLAGE,ANCHORAGE,0,-4,73.8,-4
