ID,STATE,PROPERTYNAME,CITY,HH_RACE_WHITE_PCT,HH_RACE_BLACK_PCT,HH_RACE_AMINDALNAT_PCT,HH_RACE_ASIAN_PCT,HH_RACE_HAWAIIANPI_PCT,HH_RACE_OTHER_PCT,HH_RACE_HISPANIC_PCT,HH_RACE_NR_PCT
2,AZ,WESTWARD HO APARTMENTS,PHOENIX,55.2,-4,0,0,0,-4,-4,22.4
3,AZ,TIVOLI HEIGHTS VILLAGE,KINGMAN,63.6,-4,-4,0,0,0,29.5,0
4,AZ,MOUNTAIN PARK APARTMENTS,SHOW LOW,-4,0,0,0,0,0,0,-4
5,AZ,PIONEER VILLAGE AT CORONADO COURTS,DOUGLAS,0,0,0,0,0,0,-4,-4
6,AZ,LENWOOD APARTMENTS,SPRINGERVILLE,76.5,0,-4,0,0,0,-4,0
7,AZ,PINES AT PRESCOTT,YAVAPAI COUNTY,-4,0,0,0,0,0,0,-4
8,AZ,EAGAR ELK RIDGE APARTMENTS,EAGAR,0,0,0,0,0,0,0,0
9,AZ,CATALUNYA APARTMENTS,TUCSON,21.2,39.4,0,0,0,-4,30.7,-4
10,AZ,ESCOBEDO AT VERDE VISTA PHASE II,MESA,-4,0,0,0,0,0,-4,-4
11,AZ,MERIDIAN @ 101 (FKA APACHE VILLAS),TEMPE,54.5,30.3,0,0,0,0,-4,-4
12,AZ,LA POSADA APARTMENTS II,YUMA,-4,-4,0,0,0,0,86.4,0
13,AZ,RALLY POINT APARTMENTS,TUCSON,72,-4,-4,0,0,0,-4,0
14,AZ,NUESTRA SENORA,GUADALUPE,18.5,20,-4,0,0,-4,18.5,30.8
15,AZ,HOPI HOMES I,SECOND MESA,0,0,90.5,0,0,0,-4,-4
16,CA,RAINTREE APARTMENTS,SAN JOSE,-4,-4,0,0,0,0,-4,92.4
17,CA,COLUSA DEL REY,COLUSA,-4,-4,0,0,0,0,79.7,16.5
18,CA,ALTURAS MEADOWS,ALTRUS,86.7,0,-4,0,0,0,-4,-4
19,CA,BAYVIEW APARTMENTS,SAN FRANCISCO,-4,72.5,10.1,0,0,-4,-4,9.4
20,CA,ARROW PLAZA,COVINA,23.8,-4,0,0,0,-4,50.8,-4
21,CA,GLASSELL PARK COMMUNITY HOUSING,GLASSELL PARK,0,0,0,0,0,0,-4,-4
22,CA,THE VINEYARDS AT MENIFEE,MENIFEE,52.5,17.5,-4,0,0,-4,16.3,-4
23,CA,BROOKFIELD PLACE APARTMENTS,OAKLAND,0,78.2,0,0,0,-4,-4,-4
24,CA,ONTARIO SENIOR APARTMENTS,ONTARIO,-4,-4,0,0,0,-4,54.8,32.9
25,CA,RIVER CANYON APARTMENTS,CATHEDRAL CITY,-4,-4,0,0,0,0,86.4,-4
26,CA,BROOKWOOD TERRACE FAMILY APARTMENTS,SAN JOSE,-4,-4,0,0,0,0,15.7,69.9
27,AK,MVVI,ANCHORAGE,-4,-4,-4,0,-4,-4,-4,-4
28,AK,CASWELL COURT,ANCHORAGE,-4,-4,-4,0,0,-4,-4,-4
29,AK,CARLANNA,KETCHIKAN,-4,-4,50,0,-4,0,-4,-4
30,AL,DUNWOODY PLACE,HUNTSVILLE,-4,83,0,0,0,0,-4,14.3
31,AL,ARBORS BY THE BAY FKA NORTH FORK APARTMENTS,DAPHNE,31.3,16,0,0,0,0,0,52.7
32,AL,BUTLER COVE,BUTLER,-4,81.8,0,0,0,0,0,-4
33,AL,MCKENZIE COURT REDEVELOPMENT PHASE I,TUSCALOOSA,0,90.2,0,0,0,0,0,9.8
34,AL,HIGHLAND VIEW APARTMENTS,SELMA,-4,-4,0,0,0,0,0,72.5
35,AL,MELODIE MEADOW APARTMENTS,GLENCOE,-4,-4,0,0,0,0,0,0
36,AL,TIMBERLAKE APARTMENTS,LINEVILLE,-4,50,0,0,0,0,0,-4
37,AL,"PEPPERTREE, PHASE II",GULF SHORES,81.9,-4,0,0,-4,-4,0,-4
38,AL,MEADOWOOD APARTMENTS,TALLADEGA,-4,88.9,0,0,0,0,0,-4
39,AL,REFORM MANOR APARTMENTS,REFORM,-4,-4,0,0,0,0,0,54.2
40,AL,SUMMIT RIDGE APARTMENTS,BIRMINGHAM,-4,-4,0,0,0,0,0,58.8
41,AL,CROWN CHASE,PHENIX CITY,-4,56.3,0,0,0,0,0,-4
42,AL,NOTTINGHAM APARTMENTS,PISGAH,100,0,0,0,0,0,0,0
43,AL,WOODLAND HILLS APARTMENTS,TROY,0,100,0,0,0,0,0,0
44,AL,ALAMEDA TERRACE APARTMENTS,BIRMINGHAM,0,51.5,0,0,0,0,0,48.5
45,AL,ROSEDALE REDEVELOPMENT II,TUSCALOOSA,0,100,0,0,0,0,0,0
46,AL,THE VILLAGE AT OLIVER PLACE,PHIL CAMPBELL,100,0,0,0,0,0,0,0
47,AL,WESTSIDE APARTMENTS F/K/A STIRLING APARTMENTS,ALICEVILLE,0,-4,0,0,0,0,0,-4
48,AL,THE PARK AT WOOD STATION FKA WOOD STATION TOWNHOMES,BIRMINGHAM,-4,-4,0,0,0,0,0,73
49,AL,HANCEVILLE VILLAGE APARTMENTS,HANCEVILLE,87,-4,0,0,0,0,0,-4
50,AL,CHASTAIN MANOR,TUSCALOOSA,-4,76.8,0,0,0,0,0,-4
51,AL,CEDAR TERRACE APARTMENTS,SELMA,35.4,64.6,0,0,0,0,0,0
53,AR,VILLAS OF WEST MEMPHIS,WEST MEMPHIS,0,-4,0,0,85.5,0,-4,-4
54,AR,ARRINGTON APARTMENTS II,NORTH LITTLE ROCK,0,0,0,0,-4,0,-4,0
55,AR,GARDEN WALK OF WALDRON,WALDRON,83.3,0,-4,0,-4,0,-4,-4
56,AR,MAPLE ESPLANADE ASSISTED LIVING,HARRISON,94.9,0,0,0,-4,0,-4,0
57,AR,VALLEY ESTATES OF CLARKSVILLE,CLARKSVILLE,29.7,0,0,0,64.9,-4,-4,0
58,AR,HICKORY SQUARE APARTMENTS - STUTTGART,STUTTGART,35,65,0,0,0,0,0,0
59,AR,MOUNTAIN VIEW APARTMENTS,PARIS,-4,0,-4,0,87.1,0,0,0
60,AR,PINEWOOD APARTMENTS,CORNING,-4,-4,0,0,0,0,0,0
61,AR,KEOWN HOMES,LITTLE ROCK,0,100,0,0,0,0,0,0
62,AR,NANTUCKET IV,FAYETTEVILLE,-4,0,0,0,89.1,0,-4,0
63,AR,ORCHARDS AT MABELVALE,MABELVALE,0,0,0,0,-4,0,-4,0
64,AR,HOLLY GROVE MANOR II,HOLLY GROVE,0,-4,0,0,-4,0,0,0
66,CA,WESTMINSTER MANOR,SAN DIEGO,47.7,-4,0,0,0,-4,20.1,24.8
67,CA,RANCHO CALIFORNIA,TEMECULA,27.8,-4,-4,0,0,-4,50,-4
68,CA,IOWA STREET SENIOR HOUSING,SAN DIEGO,42,-4,0,0,0,-4,12.5,33.9
69,CA,ANCHOR VILLAGE,STOCKTON,27.7,46.8,-4,0,0,-4,-4,0
70,CA,BELMAR APARTMENTS,SANTA MONICA,35.5,25.2,-4,0,0,-4,14.2,20
71,CA,TAYLOR YARD APARTMENTS,LOS ANGELES,-4,-4,0,0,0,-4,48.5,33.3
72,CA,COTTONS POINT SENIOR APARTMENTS,SAN CLEMENTE,74,0,-4,0,0,-4,-4,-4
73,CA,EL MONTE VETERANS VILLAGE,EL MONTE,35,-4,0,0,0,-4,30,-4
74,CA,EAST GARDEN APARTMENTS,JAMESTOWN,93.5,-4,-4,0,0,0,0,0
75,CA,BENTON GREEN APARTMENTS,LOS ANGELES,-4,-4,0,0,0,0,-4,50
76,CA,RIVERVIEW HOMES,TRUCKEE,-4,0,0,0,0,-4,89.7,0
77,CA,CENTRAL VILLAGE APARTMENTS,LOS ANGELES,-4,46.4,-4,0,0,-4,46.4,-4
78,CA,SALINAS GATEWAY APARTMENTS,SALINAS,25.5,-4,0,0,0,-4,56.9,-4
79,CA,BROADWAY VILLAS,LOS ANGELES,-4,72.9,0,0,0,0,-4,-4
80,CA,WOODBRIDGE VILLAGE APARTMENTS,SAINT HELENA,75.5,-4,0,0,0,-4,-4,-4
81,CA,YUCCA TRAILS APARTMENTS,JOSHUA TREE,31.3,0,-4,0,0,0,-4,58.3
82,CA,CASA ADOBE SENIOR APARTMENTS,SAN PABLO,-4,31.4,-4,0,0,0,-4,35.3
83,CA,PASHPI STEVENSON HOUSE LP,PALO ALTO,-4,0,0,0,0,0,-4,63.9
84,CA,PETALUMA AVENUE HOMES,SEBASTOPOL,79.5,-4,-4,0,0,-4,-4,0
85,CA,WINTERS APARTMENTS,WINTERS,-4,0,0,0,0,0,-4,0
86,CA,VALLEY GLEN APARTMENTS,DIXSON,0,0,0,0,0,-4,91.4,-4
87,CA,MISSION BAY APARTMENTS,BAYPOINT,-4,19.3,0,0,0,0,68.1,-4
88,CA,BRAWLEY FAMILY,BRAWLEY,-4,-4,0,0,0,0,89.7,-4
89,CA,CYPRESS SPRINGS APARTMENTS,RIVERSIDE,-4,-4,0,0,0,-4,80.8,-4
90,CA,PARKSIDE VILLAGE,DINUBA,-4,0,0,0,0,0,84,-4
91,CA,THE VINEYARD TOWNHOMES,ANAHEIM,-4,-4,0,0,0,-4,47.9,25
92,CA,ALEMANY,SAN FRANCISCO,0,-4,0,0,0,-4,-4,66.7
93,CA,BIRCHCREST APARTMENTS,DOWNEY,-4,-4,0,0,0,-4,36.4,27.3
94,CA,EUREKA SENIOR HOUSING,EUREKA,72.7,-4,0,0,0,-4,-4,-4
95,CA,PHOENIX TERRACE APARTMENTS,RIVERSIDE,-4,-4,-4,0,0,0,87.2,0
96,CA,BELLA TERRA SENIOR APARTMENTS,MORGAN HILL,37.8,-4,0,0,0,-4,-4,35.1
97,CA,COLONIA SAN MARTIN,SACRAMENTO,24.1,41.4,-4,0,0,-4,22.4,-4
98,CA,VILLA SAN RAMON,SAN RAMON,79.2,0,0,0,0,-4,-4,-4
99,CA,REDWOOD HILL TOWNHOMES,OAKLAND,-4,-4,0,0,0,-4,-4,40.7
100,CA,CREEKSIDE TRAILS,SAN DIEGO,0,-4,0,0,0,0,91.8,-4
101,CA,WOODLANDS NEWELL,EAST PALO ALTO,-4,-4,0,0,0,-4,68.9,-4
102,CA,META STREET APARTMENTS,OXNARD,0,0,0,0,0,0,100,0
104,CA,MARTIN LUTHER KING SQUARE,FRESNO,-4,48.9,-4,0,0,0,20,26.7
105,CA,MINNA PARK FAMILY APARTMENTS,SAN FRANCISCO,-4,-4,0,0,0,0,-4,64
106,CA,EAGLE FAMILY HOUSING,ALAMEDA,-4,-4,0,0,0,-4,-4,-4
