ID,STATE,PROPERTYNAME,CITY,HHSIZEATCERT_EQUAL_PCT,HOH_DOB_VALID_PCT,MBRS_DOB_VALID_PCT,UNITS_WATLEAST1_UNDR18_PCT,UNITS_WATLEAST1_ABOVE62_PCT,UNITS_WHOH_ABOVE62_PCT
6512,AK,3600 SPENARD,ANCHORAGE,88,96,96.6,-4,52,48
22151,AK,ALDER VIEW,WASILLA,100,100,100,0,100,100
29391,AK,AURORA VISTA 1,KENAI,-4,100,94.9,-4,-4,-4
16889,AK,AURORA VISTA III,KENAI,100,100,100,-4,-4,-4
23449,AK,AVS 56,ANCHORAGE,-4,100,100,-4,65.9,65.9
18658,AK,BAYVIEW APTS. ASSOC. LP,SEWARD,100,100,100,-4,41.2,41.2
21670,AK,BRIGHTON PARK,ANCHORAGE,56.3,77.5,92.2,61.3,-4,-4
29,AK,CARLANNA,KETCHIKAN,-4,91.7,96.1,66.7,-4,-4
28,AK,CASWELL COURT,ANCHORAGE,-4,91.2,92.1,0,73.5,73.5
5509,AK,CH'ANIKNA COMMONS,ANCHORAGE,100,100,100,90.5,-4,0
18660,AK,"CORDOVA MEWS ASSOCIATES OF CORDOVA, LLC",CORDOVA,100,100,100,-4,-4,-4
10256,AK,CORONADO PARK,EAGLE RIVER,-4,90,90.7,0,80,75
5507,AK,CREEKSIDE,GIRDWOOD,100,100,100,-4,-4,-4
21669,AK,CREEKVIEW PLAZA 49,ANCHORAGE,93.9,98,98.1,0,75.5,75.5
9414,AK,CREEKWOOD,PALMER,-4,100,97.9,39.1,-4,-4
35026,AK,EAGLE RIDGE OF PALMER,PALMER,100,100,100,56.3,-4,-4
12050,AK,EAGLES NEST,WASILLA,100,100,100,0,100,100
6511,AK,EKLUTNA ESTATES,ANCHORAGE,82.4,94.1,94.9,0,86.3,86.3
4469,AK,ELIZABETH PLACE,ANCHORAGE,36.8,36.8,40,-4,-4,-4
32807,AK,"GATEWAY-SEWARD ASSOCIATES, LTD PTN",SEWARD,100,100,100,-4,-4,-4
16930,AK,"GLACIER PARK-KETCHIKAN ASSOCIATES, LTD PARTNERSHIP",KETCHIKAN,100,100,98.8,27.7,36.2,36.2
40494,AK,GLACIER VILLAGE,JUNEAU,-4,96,98.9,68,-4,-4
29394,AK,GLACIER VILLAGE II/III,JUNEAU,89.2,100,100,51.4,-4,-4
22150,AK,GRASS CREEK NORTH I,ANCHORAGE,63.4,82.9,93,51.2,-4,-4
16929,AK,GRASS CREEK NORTH II,ANCHORAGE,75.6,97.8,99.4,77.8,-4,-4
23447,AK,GRASS CREEK VILLAGE,ANCHORAGE,73.8,100,100,59,18,-4
6510,AK,HAMPSTEAD HEATH APTS.,ANCHORAGE,0,95.4,98.6,59.8,13.8,-4
18659,AK,"HARBOR RIDGE-HOMER ASSOCIATES, LLC",HOMER,100,100,100,-4,50,50
33711,AK,HILLPOINT PARK APARTMENTS,ANCHORAGE,100,100,100,-4,-4,-4
6243,AK,"HUNTER CREEK APTS. OF PALMER, LP",PALMER,100,100,100,40.4,-4,-4
36791,AK,KENAITZE POINTE,ANCHORAGE,86.8,94.3,95.1,0,88.7,88.7
1824,AK,KNIK MANOR,WASILLA,100,100,100,-4,94.1,94.1
17459,AK,LOUSSAC PLACE,ANCHORAGE,72.7,90.9,97.5,61,20.8,18.2
17458,AK,LOUSSAC-SOGN,ANCHORAGE,0,100,100,0,37.3,37.3
1178,AK,"MILL BAY TOWNHOMES, LLC",KODIAK,100,100,100,44,-4,-4
33670,AK,MLH MANOR,FAIRBANKS,100,100,100,0,92.4,92.4
33085,AK,"MUNAQSRI SENIOR ASSOCIATES OF NOME, LLC",NOME,100,100,100,0,70.8,70.8
27,AK,MVVI,ANCHORAGE,60.7,85.7,95.2,67.9,-4,-4
22149,AK,MVVII,ANCHORAGE,66,85.1,94.6,51.1,-4,-4
28604,AK,MVVIII,ANCHORAGE,52.6,94.7,98.1,44.7,-4,-4
16928,AK,MVVIV,ANCHORAGE,64.7,82.4,94.8,73.5,-4,-4
24716,AK,MVVV,ANCHORAGE,70.5,90.9,97.3,77.3,-4,-4
28605,AK,NORTHWARD BUILDING,FAIRBANKS,100,100,100,-4,36.2,36.2
28603,AK,PACIFIC PARK,SEWARD,-4,100,96.9,-4,-4,-4
28602,AK,PARKVIEW-SOLDOTNA ASSOCIATES LP,SOLDOTNA,100,100,100,38.5,20,20
35027,AK,RAVEN TREE COURT,WASILLA,100,100,100,0,100,100
30172,AK,RIDGELINE TERRACE,ANCHORAGE,70,90,96.3,62.9,22.9,21.4
33710,AK,SOUND VIEW ASSOCIATES,VALDEZ,100,100,100,42.2,-4,-4
23448,AK,"SPRUCE CAPE HOMES, LLC",KODIAK,100,100,100,-4,-4,-4
24715,AK,SPRUCE VIEW,ANCHORAGE,0,100,100,63,16,13.6
6242,AK,STRAWBERRY VILLAGE,ANCHORAGE,66.7,90,96.9,65,-4,-4
13759,AK,SUNRISE,YAKUTAT,100,100,100,-4,-4,-4
6284,AK,SUSITNA PLACE,WASILLA,100,100,100,0,100,100
28606,AK,SUSITNA SQUARE,ANCHORAGE,77.8,94.4,98.4,83.3,-4,-4
10257,AK,THE ADELAIDE,ANCHORAGE,0,100,100,0,36.6,36.6
5508,AK,THE BIRCHES II,WASILLA,100,100,100,-4,51.9,51.9
32808,AK,TRADEWINDS APTS. ASSOC. LP,UNALASKA,100,100,97.9,51.4,31.4,-4
10993,AK,TURNAGAIN PLACE LLC,ANCHORAGE,100,100,100,33.3,17.3,17.3
29392,AK,TYONEK TERRACE,ANCHORAGE,75.7,86.5,86.8,0,73,70.3
29393,AK,WEEKS FIELD ESTATES II,FAIRBANKS,87.5,100,97.9,50,26.8,26.8
28601,AK,WEEKSFIELD APARTMENTS,FAIRBANKS,-4,100,100,36.5,37.8,36.5
1823,AK,WILLOW POINTE LIMITED PARTNERSHIP,PALMER,100,100,100,0,90.6,90.6
13815,AL,ADAMS CROSSINGS FORMERLY BROWNSTONE APARTMENTS,BOAZ,-4,100,100,-4,-4,-4
23459,AL,ADAMS RIDGE APARTMENTS,UNION SPRINGS,81.3,100,100,71.9,-4,-4
18705,AL,ADDISON WAY,SELMA,100,100,100,54.2,-4,-4
10423,AL,AHEPA 310 APARTMENTS,MOBILE,97.9,100,100,0,94.8,95.8
5613,AL,ALABASTER BAY APTS FORMERLY WIREGRASS POINT APTS,DOTHAN,91.1,100,100,75,-4,-4
44,AL,ALAMEDA TERRACE APARTMENTS,BIRMINGHAM,90.9,100,100,72.7,-4,-4
4522,AL,ALEX PLACE,LIVINGSTON,-4,100,100,-4,-4,-4
23503,AL,ALEXANDER TERRACE APARTMENTS,MOULTON,100,100,100,45.8,-4,-4
1869,AL,ALEXANDER TERRACE APARTMENTS II,MOULTON,-4,100,100,53.1,-4,-4
21825,AL,ALEXANDER VILLAGE APARTMENTS,ST FLORIAN,100,100,100,0,83.3,83.3
21828,AL,ALFRED RADNEY APARTMENTS FORMERLY NORTHGATE APTS,ROANOKE,-4,100,100,53.5,-4,-4
23452,AL,ALICEVILLE ESTATES,ALICEVILLE,-4,100,100,68.8,-4,-4
20527,AL,ALISON POINTE APARTMENTS,FOLEY,89.1,100,100,28.1,30.5,28.9
28657,AL,AMBERWOOD,BIRMINGHAM CENTER POINT,-4,100,100,51,24.5,24.5
29441,AL,AMBERWOOD APARTMENTS,TROY,-4,100,100,-4,77.8,77.8
22192,AL,AMBERWOOD VILLAS FORMERLY AMBERWOOD,SULLIGENT,-4,100,100,30,37.5,37.5
1916,AL,AMESBURY APARTMENTS,PELL CITY,-4,100,100,0,94.5,94.5
33720,AL,ANGELA MEADOWS,ALBERTVILLE,-4,100,100,25,39.6,39.6
18702,AL,ANNANDALE PARK APARTMENTS,ROBERTSDALE,85.6,100,100,41.3,12.5,11.5
18703,AL,ANNE PLACE,MOBILE,96.7,100,100,51.1,12,12
10996,AL,ANNIE LEE GARDENS FKA SUNRISE MANOR,ARAB,-4,100,100,0,97.5,97.5
15635,AL,APARTMENTS AT RUSSEL ERSKINE FKA RUSSEL ERSKINE BUILDING,HUNTSVILLE,100,100,100,-4,69.6,69.6
10265,AL,APPLEGATE APARTMENTS,FLORENCE,100,100,100,0,74.3,74.3
1294,AL,ARBOR GATE APARTMENTS,BRIDGEPORT,-4,100,100,-4,45.8,45.8
9415,AL,ARBOR PARK,TALLADEGA,100,100,100,50,-4,-4
6292,AL,ARBORS AT VICTORIA PLACE I F/K/A VICTORIA PLACE,PRATTVILLE,-4,100,100,37.5,-4,-4
20476,AL,ARBORS AT VICTORIA PLACE II F/K/A VICTORIA PLACE APARTMENTS II,PRATTVILLE,87.5,100,100,34.4,-4,-4
31,AL,ARBORS BY THE BAY FKA NORTH FORK APARTMENTS,DAPHNE,100,100,100,60,14.7,14.7
10420,AL,ARBOURS AT CANE CREEK F/K/A CANE CREEK APARTMENTS,ANNISTON,92.7,100,100,53.3,10.9,10.2
27512,AL,ARBOURS AT DEMOPOLIS,DEMOPOLS,93.8,100,100,66.3,-4,-4
1299,AL,ARBOURS AT DEMOPOLIS,DEMOPOLIS,93.8,100,100,66.3,-4,-4
31991,AL,ARBOURS AT PIERCE CREEK,MOBILE,100,100,100,0,82.6,82.6
11001,AL,ARDMORE SQUARE APARTMENTS,ARDMORE,100,100,100,-4,-4,-4
12101,AL,ARLINGTON PARK,MADISON,93.9,100,100,51,-4,-4
35080,AL,ARTESIAN SPRINGS APARTMENTS,BRIGHTON,100,100,100,0,93.3,93.3
5512,AL,ASHBROOK,ALBERTVILLE,-4,100,100,59.7,-4,-4
33722,AL,ASHLEY MANOR II,MOODY,100,100,100,-4,98.2,98.2
6289,AL,ASHLEY VILLAS FORMERLY MARTIN LUTHER KING VILLAS,MONTGOMERY,72.5,100,100,65,-4,-4
28653,AL,ASHTON WAY APARTMENTS,OPELIKA,100,100,100,0,85.7,85.7
6291,AL,ATHENS MANOR,ATHENS,-4,100,100,0,87,87
4521,AL,ATHENS SQUARE,ATHENS,-4,100,100,-4,-4,-4
1876,AL,AUSTIN SPRINGS APARTMENTS FORMERLY SANDY SPRINGS,SCOTTSBORO,94.6,100,100,39.3,30.4,30.4
10994,AL,AUTUMN CHASE APARTMENTS,MOBILE,100,100,100,40.8,22.5,22.5
23455,AL,AUTUMN RIDGE APARTMENTS,TROY,-4,100,100,71.4,-4,-4
33092,AL,AUTUMNWOOD APARTMENTS,HANCEVILLE,100,100,100,0,79.4,79.4
35076,AL,AVALON PLAZA F/K/A FAMILY PLACE APARTMENTS,MOBILE,87.5,100,100,42.8,9.9,9.2
4567,AL,AVON SQUARE,OZARK,-4,100,100,38.2,27.3,27.3
32811,AL,AVONDALE GARDENS,BIRMINGHAM,93.8,100,100,20.3,32.8,34.4
