ID,STATE,PROPERTYNAME,CITY,INCOME_REPORTED_PCT,MEDIAN_INC,UNITS_INC_0_5K_PCT,UNITS_INC_5K_10K_PCT,UNITS_INC_10K_15K_PCT,UNITS_INC_15_20K_PCT,UNITS_INC_GRT_20K_PCT
6512,AK,3600 SPENARD,ANCHORAGE,-4,15438,-4,-4,0,-4,-4
22151,AK,ALDER VIEW,WASILLA,100,22827,0,0,-4,-4,60.9
29391,AK,AURORA VISTA 1,KENAI,100,16196,0,0,-4,54.2,-4
16889,AK,AURORA VISTA III,KENAI,100,15940,0,0,-4,-4,-4
23449,AK,AVS 56,ANCHORAGE,86.4,23301,-4,0,-4,-4,71.1
18658,AK,BAYVIEW APTS. ASSOC. LP,SEWARD,100,17411,-4,-4,-4,47.1,-4
21670,AK,BRIGHTON PARK,ANCHORAGE,32.5,37785.5,-4,0,-4,0,88.5
29,AK,CARLANNA,KETCHIKAN,91.7,46296,0,0,0,-4,-4
28,AK,CASWELL COURT,ANCHORAGE,-4,21716,0,0,-4,-4,-4
5509,AK,CH'ANIKNA COMMONS,ANCHORAGE,95.2,43636,0,0,-4,0,-4
18660,AK,"CORDOVA MEWS ASSOCIATES OF CORDOVA, LLC",CORDOVA,100,16426.5,-4,-4,-4,-4,-4
10256,AK,CORONADO PARK,EAGLE RIVER,27.5,24038,0,0,-4,-4,-4
5507,AK,CREEKSIDE,GIRDWOOD,100,38818,0,0,-4,-4,79.3
21669,AK,CREEKVIEW PLAZA 49,ANCHORAGE,28.6,17108,-4,0,-4,-4,-4
9414,AK,CREEKWOOD,PALMER,95.7,21963.5,0,0,-4,-4,56.8
35026,AK,EAGLE RIDGE OF PALMER,PALMER,100,24027,-4,0,-4,-4,56.3
12050,AK,EAGLES NEST,WASILLA,100,30336,0,0,-4,-4,76.5
6511,AK,EKLUTNA ESTATES,ANCHORAGE,21.6,22957,0,0,0,-4,-4
4469,AK,ELIZABETH PLACE,ANCHORAGE,34.2,18780,-4,0,-4,-4,-4
32807,AK,"GATEWAY-SEWARD ASSOCIATES, LTD PTN",SEWARD,100,17982,-4,0,-4,-4,-4
16930,AK,"GLACIER PARK-KETCHIKAN ASSOCIATES, LTD PARTNERSHIP",KETCHIKAN,100,15436,-4,-4,27.7,36.2,-4
40494,AK,GLACIER VILLAGE,JUNEAU,92,62643,0,0,-4,-4,87
29394,AK,GLACIER VILLAGE II/III,JUNEAU,97.3,43518.5,0,-4,0,-4,86.1
22150,AK,GRASS CREEK NORTH I,ANCHORAGE,-4,34058,0,0,0,0,-4
16929,AK,GRASS CREEK NORTH II,ANCHORAGE,84.4,39094,0,-4,0,-4,86.8
23447,AK,GRASS CREEK VILLAGE,ANCHORAGE,21.3,37292,0,0,0,-4,-4
6510,AK,HAMPSTEAD HEATH APTS.,ANCHORAGE,0,0,0,0,0,0,0
18659,AK,"HARBOR RIDGE-HOMER ASSOCIATES, LLC",HOMER,100,19256,-4,-4,-4,-4,45.8
33711,AK,HILLPOINT PARK APARTMENTS,ANCHORAGE,100,17036,-4,-4,-4,-4,-4
6243,AK,"HUNTER CREEK APTS. OF PALMER, LP",PALMER,100,27099,-4,-4,-4,-4,61.7
36791,AK,KENAITZE POINTE,ANCHORAGE,22.6,22396,0,0,0,-4,-4
1824,AK,KNIK MANOR,WASILLA,100,19372,0,0,-4,-4,-4
17459,AK,LOUSSAC PLACE,ANCHORAGE,23.4,27978,0,0,-4,-4,66.7
17458,AK,LOUSSAC-SOGN,ANCHORAGE,0,0,0,0,0,0,0
1178,AK,"MILL BAY TOWNHOMES, LLC",KODIAK,100,31075,-4,0,-4,-4,68
33670,AK,MLH MANOR,FAIRBANKS,100,19786,0,0,-4,-4,-4
33085,AK,"MUNAQSRI SENIOR ASSOCIATES OF NOME, LLC",NOME,100,17573,-4,0,-4,66.7,-4
27,AK,MVVI,ANCHORAGE,-4,37107,0,0,0,0,-4
22149,AK,MVVII,ANCHORAGE,-4,33149.5,0,0,-4,-4,-4
28604,AK,MVVIII,ANCHORAGE,-4,28028,0,0,0,-4,-4
16928,AK,MVVIV,ANCHORAGE,35.3,41034,0,0,0,0,100
24716,AK,MVVV,ANCHORAGE,27.3,40958,0,0,0,-4,-4
28605,AK,NORTHWARD BUILDING,FAIRBANKS,100,22145.5,-4,0,0,-4,56.9
28603,AK,PACIFIC PARK,SEWARD,96.6,32800,0,-4,-4,-4,82.1
28602,AK,PARKVIEW-SOLDOTNA ASSOCIATES LP,SOLDOTNA,100,19388,-4,-4,-4,27.7,49.2
35027,AK,RAVEN TREE COURT,WASILLA,100,25276,0,0,0,-4,-4
30172,AK,RIDGELINE TERRACE,ANCHORAGE,32.9,25774,0,-4,-4,-4,69.6
33710,AK,SOUND VIEW ASSOCIATES,VALDEZ,100,19024,-4,-4,-4,24.4,48.9
23448,AK,"SPRUCE CAPE HOMES, LLC",KODIAK,100,30932,-4,0,-4,-4,-4
24715,AK,SPRUCE VIEW,ANCHORAGE,0,0,0,0,0,0,0
6242,AK,STRAWBERRY VILLAGE,ANCHORAGE,25,45901,0,0,0,-4,-4
13759,AK,SUNRISE,YAKUTAT,100,18802,0,-4,-4,-4,-4
6284,AK,SUSITNA PLACE,WASILLA,100,20540,0,0,0,-4,-4
28606,AK,SUSITNA SQUARE,ANCHORAGE,-4,35352.5,0,0,-4,0,-4
10257,AK,THE ADELAIDE,ANCHORAGE,0,0,0,0,0,0,0
5508,AK,THE BIRCHES II,WASILLA,100,20104,0,-4,0,-4,51.9
32808,AK,TRADEWINDS APTS. ASSOC. LP,UNALASKA,100,20100,-4,-4,-4,-4,51.4
10993,AK,TURNAGAIN PLACE LLC,ANCHORAGE,100,33581,-4,0,0,-4,72
29392,AK,TYONEK TERRACE,ANCHORAGE,-4,17542,0,0,-4,-4,-4
29393,AK,WEEKS FIELD ESTATES II,FAIRBANKS,91.1,34811,0,-4,-4,-4,84.3
28601,AK,WEEKSFIELD APARTMENTS,FAIRBANKS,100,28542.5,0,0,-4,-4,67.6
1823,AK,WILLOW POINTE LIMITED PARTNERSHIP,PALMER,100,17296,-4,0,-4,54.7,28.3
