ID,STATE,PROPERTYNAME,CITY,INCOME_REPORTED_PCT,UNITS_INC_ILMT_IRES_RPTD_PCT,UNITS_I_IL_IR_0_PCT,UNITS_I_IL_IR_0_30_PCT,UNITS_I_IL_IR_30_40_PCT,UNITS_I_IL_IR_40_50_PCT,UNITS_I_IL_IR_50_60_PCT,UNITS_I_IL_IR_GT60_PCT
6512,AK,3600 SPENARD,ANCHORAGE,-4,-4,0,-4,-4,-4,-4,0
22151,AK,ALDER VIEW,WASILLA,100,100,0,-4,-4,-4,-4,0
29391,AK,AURORA VISTA 1,KENAI,100,100,0,62.5,-4,-4,-4,0
16889,AK,AURORA VISTA III,KENAI,100,100,0,-4,-4,-4,0,0
23449,AK,AVS 56,ANCHORAGE,86.4,86.4,0,-4,-4,31.6,-4,-4
18658,AK,BAYVIEW APTS. ASSOC. LP,SEWARD,100,97.1,0,57.6,-4,-4,-4,-4
21670,AK,BRIGHTON PARK,ANCHORAGE,32.5,32.5,-4,-4,-4,-4,-4,-4
29,AK,CARLANNA,KETCHIKAN,91.7,91.7,0,0,-4,-4,-4,-4
28,AK,CASWELL COURT,ANCHORAGE,-4,-4,0,-4,-4,-4,-4,-4
5509,AK,CH'ANIKNA COMMONS,ANCHORAGE,95.2,95.2,0,-4,-4,-4,-4,-4
18660,AK,"CORDOVA MEWS ASSOCIATES OF CORDOVA, LLC",CORDOVA,100,100,-4,59.1,-4,-4,-4,0
10256,AK,CORONADO PARK,EAGLE RIVER,27.5,27.5,0,0,-4,-4,-4,0
5507,AK,CREEKSIDE,GIRDWOOD,100,100,0,-4,-4,-4,-4,-4
21669,AK,CREEKVIEW PLAZA 49,ANCHORAGE,28.6,28.6,0,-4,-4,-4,0,0
9414,AK,CREEKWOOD,PALMER,95.7,95.7,0,52.3,-4,-4,-4,-4
35026,AK,EAGLE RIDGE OF PALMER,PALMER,100,100,-4,46.9,-4,-4,-4,-4
12050,AK,EAGLES NEST,WASILLA,100,100,0,-4,-4,-4,-4,-4
6511,AK,EKLUTNA ESTATES,ANCHORAGE,21.6,21.6,0,-4,-4,-4,0,-4
4469,AK,ELIZABETH PLACE,ANCHORAGE,34.2,34.2,0,-4,-4,-4,-4,-4
32807,AK,"GATEWAY-SEWARD ASSOCIATES, LTD PTN",SEWARD,100,100,-4,-4,-4,-4,0,0
16930,AK,"GLACIER PARK-KETCHIKAN ASSOCIATES, LTD PARTNERSHIP",KETCHIKAN,100,95.7,0,88.9,-4,-4,-4,0
40494,AK,GLACIER VILLAGE,JUNEAU,92,92,0,-4,-4,-4,-4,-4
29394,AK,GLACIER VILLAGE II/III,JUNEAU,97.3,97.3,0,-4,-4,-4,-4,-4
22150,AK,GRASS CREEK NORTH I,ANCHORAGE,-4,-4,0,0,0,-4,-4,-4
16929,AK,GRASS CREEK NORTH II,ANCHORAGE,84.4,84.4,0,-4,-4,-4,-4,39.5
23447,AK,GRASS CREEK VILLAGE,ANCHORAGE,21.3,21.3,0,-4,-4,-4,-4,-4
6510,AK,HAMPSTEAD HEATH APTS.,ANCHORAGE,0,0,0,0,0,0,0,0
18659,AK,"HARBOR RIDGE-HOMER ASSOCIATES, LLC",HOMER,100,100,-4,-4,-4,-4,-4,0
33711,AK,HILLPOINT PARK APARTMENTS,ANCHORAGE,100,100,0,60.9,-4,-4,-4,-4
6243,AK,"HUNTER CREEK APTS. OF PALMER, LP",PALMER,100,100,-4,42.6,-4,-4,-4,-4
36791,AK,KENAITZE POINTE,ANCHORAGE,22.6,22.6,0,-4,-4,-4,0,-4
1824,AK,KNIK MANOR,WASILLA,100,100,0,-4,-4,-4,-4,0
17459,AK,LOUSSAC PLACE,ANCHORAGE,23.4,23.4,0,-4,-4,-4,-4,-4
17458,AK,LOUSSAC-SOGN,ANCHORAGE,0,0,0,0,0,0,0,0
1178,AK,"MILL BAY TOWNHOMES, LLC",KODIAK,100,68,0,-4,-4,-4,-4,-4
33670,AK,MLH MANOR,FAIRBANKS,100,100,0,48.1,35.4,-4,-4,0
33085,AK,"MUNAQSRI SENIOR ASSOCIATES OF NOME, LLC",NOME,100,100,-4,70.8,-4,-4,0,0
27,AK,MVVI,ANCHORAGE,-4,-4,0,0,-4,-4,-4,-4
22149,AK,MVVII,ANCHORAGE,-4,-4,0,-4,-4,-4,-4,0
28604,AK,MVVIII,ANCHORAGE,-4,-4,0,-4,-4,0,0,0
16928,AK,MVVIV,ANCHORAGE,35.3,35.3,0,0,-4,-4,-4,-4
24716,AK,MVVV,ANCHORAGE,27.3,27.3,0,-4,-4,-4,-4,-4
28605,AK,NORTHWARD BUILDING,FAIRBANKS,100,100,0,43.1,20.7,22.4,-4,-4
28603,AK,PACIFIC PARK,SEWARD,96.6,89.7,0,-4,-4,-4,-4,-4
28602,AK,PARKVIEW-SOLDOTNA ASSOCIATES LP,SOLDOTNA,100,100,-4,38.5,35.4,-4,-4,-4
35027,AK,RAVEN TREE COURT,WASILLA,100,100,0,-4,-4,-4,-4,0
30172,AK,RIDGELINE TERRACE,ANCHORAGE,32.9,31.4,0,-4,-4,-4,-4,0
33710,AK,SOUND VIEW ASSOCIATES,VALDEZ,100,100,-4,60,-4,-4,-4,-4
23448,AK,"SPRUCE CAPE HOMES, LLC",KODIAK,100,61.9,0,-4,-4,-4,-4,0
24715,AK,SPRUCE VIEW,ANCHORAGE,0,0,0,0,0,0,0,0
6242,AK,STRAWBERRY VILLAGE,ANCHORAGE,25,25,0,-4,-4,-4,-4,-4
13759,AK,SUNRISE,YAKUTAT,100,100,0,65,-4,-4,0,-4
6284,AK,SUSITNA PLACE,WASILLA,100,100,0,-4,-4,-4,-4,-4
28606,AK,SUSITNA SQUARE,ANCHORAGE,-4,-4,0,-4,-4,-4,0,0
10257,AK,THE ADELAIDE,ANCHORAGE,0,0,0,0,0,0,0,0
5508,AK,THE BIRCHES II,WASILLA,100,100,0,48.1,-4,-4,-4,0
32808,AK,TRADEWINDS APTS. ASSOC. LP,UNALASKA,100,100,-4,68.6,-4,-4,-4,0
10993,AK,TURNAGAIN PLACE LLC,ANCHORAGE,100,82.7,0,-4,25.8,38.7,-4,-4
